Name,Rating,Rating_Extremeness,Helpfulness,Helpfulness_Negative,Helpfulness_Positive,Verification,Amount_of_positive_attributes,Amount_of_negative_attributes,Amount_of_neutral_attributes,Total_amount_of_attributes,Total_amount_of_valent_attributes,Date_of_Review
sv2fpm,5,2,0,0,0,1,4,0,0,4,4,2024-03-01
Pavlos Vid,1,2,1,0,1,1,3,1,1,5,4,2023-09-13
Panos_Paso,2,1,4,0,4,1,2,2,3,7,4,2023-02-20
Dimitris_Thomas8002,3,0,1,0,1,1,2,1,5,8,3,2023-02-14
nickol007,3,0,4,2,6,1,2,4,2,8,6,2022-12-27
gpeters,4,1,1,0,1,0,2,3,2,7,5,2023-11-29
Tatiana_Rapakoulia,3,0,3,1,4,1,1,2,5,8,3,2023-05-23
Negroponte.,5,2,9,0,9,1,0,0,0,0,0,2022-08-30
arGy13_NO1,5,2,-18,24,6,0,8,0,0,8,8,2022-05-21
Panagiotis_V7935,5,2,0,0,0,1,3,4,1,8,7,2023-02-14
dxenio,5,2,0,0,0,1,3,2,3,8,5,2022-10-01
vassiliou_n,4,1,1,0,1,1,4,0,2,6,4,2022-05-31
Dimitris_Saramaskos,2,1,4,1,5,0,1,5,2,8,6,2021-04-17
Lara_Rosa,5,2,2,1,3,1,5,2,1,8,7,2021-04-16
Manos_Play,5,2,4,1,5,1,5,0,1,6,5,2021-03-09
Stelios_karakatsanis,4,1,-1,2,1,0,4,0,4,8,4,2021-02-19
jen_kouts,5,2,3,1,4,1,8,0,0,8,8,2021-02-14
damiano1127,1,2,4,1,5,1,3,5,0,8,8,2020-10-31
Θεοδωρου Χρηστος,4,1,-14,17,3,0,5,0,3,8,5,2020-09-27
Chrestostheodorou9811@gmailcom,5,2,-19,21,2,0,8,0,0,8,8,2020-09-05
petros_theod7,5,2,-24,28,4,0,7,0,1,8,7,2020-07-14
Runner_8,2,1,0,0,0,1,3,4,1,8,7,2023-12-06
Xristos2024,5,2,1,0,1,0,3,3,2,8,6,2023-12-05
